,method_name,MR_per_v,MR_per_nv,MR_per_e,MR_add_v,MR_add_nv,MR_add_e,MR_mul_v,MR_mul_nv,MR_mul_e,MR_inv_v,MR_inv_nv,MR_inv_e,MR_inc_v,MR_inc_nv,MR_inc_e,MR_exc_v,MR_exc_nv,MR_exc_e
12,add_values_logs.json,0,100,0,0,100,0,48,52,0,42,44,14,0,100,0,47,53,0
8,average_logs.json,0,93,7,0,93,7,48,45,7,42,37,21,32,61,7,45,43,13
19,cnt_non_zeros_logs.json,0,100,0,13,87,0,0,100,0,14,86,0,0,100,0,0,100,0
1,cnt_zeros_logs.json,0,100,0,12,88,0,0,100,0,0,100,0,0,100,0,0,100,0
3,durbinWatson_logs.json,80,13,7,46,47,7,0,93,7,38,41,21,35,58,7,45,42,13
15,entropy_logs.json,0,13,87,4,8,88,0,13,87,1,11,88,0,6,94,0,7,93
2,find_magnitude_logs.json,0,93,7,44,49,7,0,93,7,0,79,21,0,93,7,0,87,13
10,find_max2_logs.json,63,25,13,0,87,13,11,76,13,11,63,26,5,82,13,6,75,19
13,find_max_logs.json,0,93,7,0,93,7,7,86,7,7,73,21,0,93,7,0,87,13
22,find_median_logs.json,0,93,7,0,93,7,48,45,7,43,37,21,33,60,7,40,47,13
9,find_min_logs.json,0,93,7,0,93,7,87,6,7,73,6,21,5,88,7,14,73,13
18,geometric_mean_logs.json,0,5,95,0,5,95,0,5,95,0,5,95,5,0,95,1,2,97
4,harmonicMean_logs.json,0,5,95,0,5,95,0,5,95,0,5,95,5,0,95,1,2,97
21,kurtosis_logs.json,0,76,24,0,76,24,0,76,24,54,8,38,16,60,24,27,42,31
7,max_logs.json,0,93,7,0,93,7,7,86,7,7,73,21,0,93,7,0,87,13
11,min_logs.json,0,93,7,0,93,7,87,6,7,73,6,21,5,88,7,14,73,13
14,product_logs.json,0,93,7,40,53,7,39,54,7,39,40,21,39,54,7,37,51,13
20,safeNorm_logs.json,0,93,7,44,49,7,0,93,7,0,79,21,0,93,7,0,87,13
0,sampleVariance_logs.json,0,87,13,0,87,13,0,87,13,0,74,26,79,9,13,48,33,19
16,skew_logs.json,0,81,19,0,81,19,0,81,19,35,33,32,53,28,19,37,38,24
5,sumOfLogarithms_logs.json,0,12,88,0,12,88,0,12,88,0,12,88,0,12,88,0,12,88
17,sum_logs.json,0,100,0,0,100,0,48,52,0,42,44,14,0,100,0,46,54,0
6,variance_logs.json,0,93,7,0,93,7,0,93,7,0,79,21,76,17,7,44,43,13
