,key_original_file,size,isEmpty,has_zeros,cnt_zeros,cnt_positive_numbers,cnt_negative_numbers,get_minimum,get_maximum,get_sum,get_mean,get_median,get_range,has_duplicates,is_sorted,count_distinct_values,contains_even_numbers,contains_odd_numbers,contains_integers,pp_numbers,pn_numbers,more_positive_or_negative,weigth_of_list,vs,vs_str
0,0,14,False,True,1,4,9,-31,11,-133,-9.5,-8.0,42,True,False,10,True,True,True,1.5714285714285714,-11.071428571428571,n,wn,1,Violate
1,1,4,False,False,0,2,2,-20,15,-7,-1.75,-1.0,35,False,False,4,True,True,True,6.0,-7.75,e,wn,1,Violate
2,2,11,False,True,1,2,8,-23,14,-82,-7.454545454545454,-12.0,37,True,False,9,True,True,True,1.9090909090909092,-9.363636363636363,n,wn,1,Violate
3,3,2,False,False,0,1,1,-25,7,-18,-9.0,-9.0,32,False,False,2,False,True,True,3.5,-12.5,e,wn,1,Violate
4,4,4,False,False,0,2,2,-22,6,-20,-5.0,-2.0,28,False,False,4,True,False,True,2.0,-7.0,e,wn,1,Violate
5,5,1,False,False,0,0,1,-18,-18,-18,-18.0,-18.0,0,False,True,1,True,False,True,0.0,-18.0,n,wn,1,Violate
6,6,5,False,False,0,3,2,-19,22,4,0.8,4.0,41,False,False,5,True,True,True,6.6,-5.8,p,wp,0,No-violate
7,7,9,False,False,0,4,5,-25,19,-5,-0.5555555555555556,-2.0,44,False,False,9,True,True,True,5.555555555555555,-6.111111111111111,n,wn,1,Violate
8,8,8,False,False,0,3,5,-30,10,-70,-8.75,-13.0,40,True,False,6,True,True,True,3.125,-11.875,n,wn,1,Violate
9,9,4,False,False,0,1,3,-16,4,-33,-8.25,-10.5,20,False,False,4,True,True,True,1.0,-9.25,n,wn,1,Violate
10,10,2,False,False,0,0,2,-27,-3,-30,-15.0,-15.0,24,False,True,2,False,True,True,0.0,-15.0,n,wn,1,Violate
11,11,4,False,True,2,1,1,-2,10,8,2.0,0.0,12,True,False,3,True,False,True,2.5,-0.5,e,wp,0,No-violate
12,12,9,False,False,0,3,6,-25,23,-65,-7.222222222222222,-15.0,48,False,False,9,True,True,True,4.555555555555555,-11.777777777777779,n,wn,1,Violate
13,13,7,False,False,0,0,7,-25,-3,-75,-10.714285714285714,-6.0,22,True,False,6,True,True,True,0.0,-10.714285714285714,n,wn,1,Violate
14,14,13,False,False,0,6,7,-24,12,-52,-4.0,-3.0,36,True,False,11,True,True,True,3.6153846153846154,-7.615384615384615,n,wn,1,Violate
15,15,0,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
16,16,8,False,False,0,2,6,-27,17,-58,-7.25,-4.5,44,False,False,8,True,True,True,2.75,-10.0,n,wn,1,Violate
17,17,9,False,False,0,3,6,-29,21,-50,-5.555555555555555,-11.0,50,False,False,9,True,True,True,4.555555555555555,-10.11111111111111,n,wn,1,Violate
18,18,7,False,False,0,2,5,-28,21,-55,-7.857142857142857,-6.0,49,True,False,6,True,True,True,5.142857142857143,-13.0,n,wn,1,Violate
19,19,12,False,False,0,4,8,-25,24,-65,-5.416666666666667,-12.5,49,True,False,9,True,True,True,6.25,-11.666666666666666,n,wn,1,Violate
20,20,6,False,True,1,2,3,-10,17,4,0.6666666666666666,-1.5,27,False,False,6,True,True,True,4.333333333333333,-3.6666666666666665,n,wp,0,No-violate
21,21,13,False,True,1,3,9,-25,18,-120,-9.23076923076923,-14.0,43,True,False,12,True,True,True,1.9230769230769231,-11.153846153846153,n,wn,1,Violate
22,22,13,False,True,1,6,6,-25,11,-61,-4.6923076923076925,0.0,36,False,False,13,True,True,True,2.6153846153846154,-7.3076923076923075,e,wn,1,Violate
23,23,13,False,False,0,9,4,-23,27,63,4.846153846153846,10.0,50,True,False,11,True,True,True,10.384615384615385,-5.538461538461538,p,wp,0,No-violate
24,24,11,False,False,0,10,1,-2,31,159,14.454545454545455,18.0,33,True,False,10,True,True,True,14.636363636363637,-0.18181818181818182,p,wp,0,No-violate
25,25,7,False,False,0,5,2,-17,23,48,6.857142857142857,12.0,40,True,False,6,True,True,True,10.857142857142858,-4.0,p,wp,0,No-violate
26,26,7,False,True,1,4,2,-15,14,20,2.857142857142857,4.0,29,False,False,7,True,True,True,6.142857142857143,-3.2857142857142856,p,wp,0,No-violate
27,27,11,False,False,0,3,8,-28,21,-62,-5.636363636363637,-7.0,49,False,False,11,True,True,True,3.8181818181818183,-9.454545454545455,n,wn,1,Violate
28,28,2,False,False,0,0,2,-25,-9,-34,-17.0,-17.0,16,False,False,2,False,True,True,0.0,-17.0,n,wn,1,Violate
29,29,6,False,True,2,2,2,-15,13,-6,-1.0,0.0,28,True,False,5,True,True,True,3.8333333333333335,-4.833333333333333,e,wn,1,Violate
30,30,5,False,False,0,5,0,7,26,95,19.0,23.0,19,False,False,5,True,True,True,19.0,0.0,p,wp,0,No-violate
31,31,10,False,False,0,4,6,-22,15,-71,-7.1,-12.0,37,True,False,9,True,True,True,2.4,-9.5,n,wn,1,Violate
32,32,4,False,False,0,1,3,-20,12,-28,-7.0,-10.0,32,False,False,4,True,True,True,3.0,-10.0,n,wn,1,Violate
33,33,8,False,False,0,4,4,-21,26,42,5.25,5.5,47,False,False,8,True,True,True,10.75,-5.5,e,wp,0,No-violate
34,34,11,False,False,0,6,5,-13,24,64,5.818181818181818,3.0,37,True,False,10,True,True,True,7.818181818181818,-2.0,p,wp,0,No-violate
35,35,2,False,False,0,1,1,-13,6,-7,-3.5,-3.5,19,False,False,2,True,True,True,3.0,-6.5,e,wn,1,Violate
