,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 3, 4, 4, 11]","[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 3, 4, 4, 11]","[-29, -26, -19, -18, -18, -9, -6, -6, -6, 2, 5, 6, 6, 13]","[-62, -56, -42, -40, -40, -22, -16, -16, -16, 0, 6, 8, 8, 22]","[-0.047619047619047616, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, 0.3333333333333333, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 2, 3, 4, 4, 11]","[-31, -28, -21, -20, -20, -8, -8, -8, 0, 3, 4, 4, 11]","[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 3, 4, 4, 11]","[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 3, 4, 4, 11]","[-29, -26, -19, -18, -18, -9, -6, -6, -6, 2, 5, 6, 6, 13]","[-62, -56, -42, -40, -40, -22, -16, -16, -16, 0, 6, 8, 8, 22]",error,"[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 2, 3, 4, 4, 11]","[-31, -28, -21, -20, -20, -8, -8, -8, 0, 3, 4, 4, 11]",No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
1,"[-20, -11, 9, 15]","[-20, -11, 9, 15]","[-18, -9, 11, 17]","[-40, -22, 18, 30]","[-0.09090909090909091, -0.05, 0.06666666666666667, 0.1111111111111111]","[-20, -11, 2, 9, 15]","[-11, 9, 15]","[-20, -11, 9, 15]","[-20, -11, 9, 15]","[-18, -9, 11, 17]","[-40, -22, 18, 30]","[-0.09090909090909091, -0.05, 0.06666666666666667, 0.1111111111111111]","[-20, -11, 2, 9, 15]","[-11, 9, 15]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
2,"[-23, -22, -15, -12, -12, -12, -6, -1, 0, 7, 14]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 7, 14]","[-21, -20, -13, -10, -10, -10, -4, 1, 2, 9, 16]","[-46, -44, -30, -24, -24, -24, -12, -2, 0, 14, 28]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 2, 7, 14]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 14]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 7, 14]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 7, 14]","[-21, -20, -13, -10, -10, -10, -4, 1, 2, 9, 16]","[-46, -44, -30, -24, -24, -24, -12, -2, 0, 14, 28]",error,"[-23, -22, -15, -12, -12, -12, -6, -1, 0, 2, 7, 14]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 14]",No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
3,"[-25, 7]","[-25, 7]","[-23, 9]","[-50, 14]","[-0.04, 0.14285714285714285]","[-25, 2, 7]",[-25],"[-25, 7]","[-25, 7]","[-23, 9]","[-50, 14]","[-0.04, 0.14285714285714285]","[-25, 2, 7]",[-25],No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
4,"[-22, -6, 2, 6]","[-22, -6, 2, 6]","[-20, -4, 4, 8]","[-44, -12, 4, 12]","[-0.16666666666666666, -0.045454545454545456, 0.16666666666666666, 0.5]","[-22, -6, 2, 2, 6]","[-22, -6, 6]","[-22, -6, 2, 6]","[-22, -6, 2, 6]","[-20, -4, 4, 8]","[-44, -12, 4, 12]","[-0.16666666666666666, -0.045454545454545456, 0.16666666666666666, 0.5]","[-22, -6, 2, 2, 6]","[-22, -6, 6]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
6,"[-19, -10, 4, 7, 22]","[-19, -10, 4, 7, 22]","[-17, -8, 6, 9, 24]","[-38, -20, 8, 14, 44]","[-0.1, -0.05263157894736842, 0.045454545454545456, 0.14285714285714285, 0.25]","[-19, -10, 2, 4, 7, 22]","[-19, -10, 7, 22]","[-19, -10, 4, 7, 22]","[-19, -10, 4, 7, 22]","[-17, -8, 6, 9, 24]","[-38, -20, 8, 14, 44]","[-0.1, -0.05263157894736842, 0.045454545454545456, 0.14285714285714285, 0.25]","[-19, -10, 2, 4, 7, 22]","[-19, -10, 7, 22]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
7,"[-25, -15, -10, -3, -2, 4, 13, 14, 19]","[-25, -15, -10, -3, -2, 4, 13, 14, 19]","[-23, -13, -8, -1, 0, 6, 15, 16, 21]","[-50, -30, -20, -6, -4, 8, 26, 28, 38]","[-0.5, -0.3333333333333333, -0.1, -0.06666666666666667, -0.04, 0.05263157894736842, 0.07142857142857142, 0.07692307692307693, 0.25]","[-25, -15, -10, -3, -2, 2, 4, 13, 14, 19]","[-25, -15, -3, -2, 4, 13, 14, 19]","[-25, -15, -10, -3, -2, 4, 13, 14, 19]","[-25, -15, -10, -3, -2, 4, 13, 14, 19]","[-23, -13, -8, -1, 0, 6, 15, 16, 21]","[-50, -30, -20, -6, -4, 8, 26, 28, 38]","[-0.5, -0.3333333333333333, -0.1, -0.06666666666666667, -0.04, 0.05263157894736842, 0.07142857142857142, 0.07692307692307693, 0.25]","[-25, -15, -10, -3, -2, 2, 4, 13, 14, 19]","[-25, -15, -3, -2, 4, 13, 14, 19]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
8,"[-30, -20, -19, -19, -7, 5, 10, 10]","[-30, -20, -19, -19, -7, 5, 10, 10]","[-28, -18, -17, -17, -5, 7, 12, 12]","[-60, -40, -38, -38, -14, 10, 20, 20]","[-0.14285714285714285, -0.05263157894736842, -0.05263157894736842, -0.05, -0.03333333333333333, 0.1, 0.1, 0.2]","[-30, -20, -19, -19, -7, 2, 5, 10, 10]","[-30, -20, -19, -19, -7, 5, 10]","[-30, -20, -19, -19, -7, 5, 10, 10]","[-30, -20, -19, -19, -7, 5, 10, 10]","[-28, -18, -17, -17, -5, 7, 12, 12]","[-60, -40, -38, -38, -14, 10, 20, 20]","[-0.14285714285714285, -0.05263157894736842, -0.05263157894736842, -0.05, -0.03333333333333333, 0.1, 0.1, 0.2]","[-30, -20, -19, -19, -7, 2, 5, 10, 10]","[-30, -20, -19, -19, -7, 5, 10]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
9,"[-16, -14, -7, 4]","[-16, -14, -7, 4]","[-14, -12, -5, 6]","[-32, -28, -14, 8]","[-0.14285714285714285, -0.07142857142857142, -0.0625, 0.25]","[-16, -14, -7, 2, 4]","[-16, -7, 4]","[-16, -14, -7, 4]","[-16, -14, -7, 4]","[-14, -12, -5, 6]","[-32, -28, -14, 8]","[-0.14285714285714285, -0.07142857142857142, -0.0625, 0.25]","[-16, -14, -7, 2, 4]","[-16, -7, 4]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
10,"[-27, -3]","[-27, -3]","[-25, -1]","[-54, -6]","[-0.3333333333333333, -0.037037037037037035]","[-27, -3, 2]",[-3],"[-27, -3]","[-27, -3]","[-25, -1]","[-54, -6]","[-0.3333333333333333, -0.037037037037037035]","[-27, -3, 2]",[-3],No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
11,"[-2, 0, 0, 10]","[-2, 0, 0, 10]","[0, 2, 2, 12]","[-4, 0, 0, 20]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[-2, 0, 0, 2, 10]","[-2, 0, 0]","[-2, 0, 0, 10]","[-2, 0, 0, 10]","[0, 2, 2, 12]","[-4, 0, 0, 20]",error,"[-2, 0, 0, 2, 10]","[-2, 0, 0]",No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
12,"[-25, -24, -23, -17, -15, -2, 7, 11, 23]","[-25, -24, -23, -17, -15, -2, 7, 11, 23]","[-23, -22, -21, -15, -13, 0, 9, 13, 25]","[-50, -48, -46, -34, -30, -4, 14, 22, 46]","[-0.5, -0.06666666666666667, -0.058823529411764705, -0.043478260869565216, -0.041666666666666664, -0.04, 0.043478260869565216, 0.09090909090909091, 0.14285714285714285]","[-25, -24, -23, -17, -15, -2, 2, 7, 11, 23]","[-25, -24, -23, -17, -15, -2, 11, 23]","[-25, -24, -23, -17, -15, -2, 7, 11, 23]","[-25, -24, -23, -17, -15, -2, 7, 11, 23]","[-23, -22, -21, -15, -13, 0, 9, 13, 25]","[-50, -48, -46, -34, -30, -4, 14, 22, 46]","[-0.5, -0.06666666666666667, -0.058823529411764705, -0.043478260869565216, -0.041666666666666664, -0.04, 0.043478260869565216, 0.09090909090909091, 0.14285714285714285]","[-25, -24, -23, -17, -15, -2, 2, 7, 11, 23]","[-25, -24, -23, -17, -15, -2, 11, 23]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
13,"[-25, -20, -11, -6, -5, -5, -3]","[-25, -20, -11, -6, -5, -5, -3]","[-23, -18, -9, -4, -3, -3, -1]","[-50, -40, -22, -12, -10, -10, -6]","[-0.3333333333333333, -0.2, -0.2, -0.16666666666666666, -0.09090909090909091, -0.05, -0.04]","[-25, -20, -11, -6, -5, -5, -3, 2]","[-25, -20, -11, -6, -5, -3]","[-25, -20, -11, -6, -5, -5, -3]","[-25, -20, -11, -6, -5, -5, -3]","[-23, -18, -9, -4, -3, -3, -1]","[-50, -40, -22, -12, -10, -10, -6]","[-0.3333333333333333, -0.2, -0.2, -0.16666666666666666, -0.09090909090909091, -0.05, -0.04]","[-25, -20, -11, -6, -5, -5, -3, 2]","[-25, -20, -11, -6, -5, -3]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
14,"[-24, -19, -18, -18, -11, -6, -3, 3, 6, 8, 8, 10, 12]","[-24, -19, -18, -18, -11, -6, -3, 3, 6, 8, 8, 10, 12]","[-22, -17, -16, -16, -9, -4, -1, 5, 8, 10, 10, 12, 14]","[-48, -38, -36, -36, -22, -12, -6, 6, 12, 16, 16, 20, 24]","[-0.3333333333333333, -0.16666666666666666, -0.09090909090909091, -0.05555555555555555, -0.05555555555555555, -0.05263157894736842, -0.041666666666666664, 0.08333333333333333, 0.1, 0.125, 0.125, 0.16666666666666666, 0.3333333333333333]","[-24, -19, -18, -18, -11, -6, -3, 2, 3, 6, 8, 8, 10, 12]","[-24, -19, -18, -18, -11, -6, -3, 3, 6, 8, 8, 12]","[-24, -19, -18, -18, -11, -6, -3, 3, 6, 8, 8, 10, 12]","[-24, -19, -18, -18, -11, -6, -3, 3, 6, 8, 8, 10, 12]","[-22, -17, -16, -16, -9, -4, -1, 5, 8, 10, 10, 12, 14]","[-48, -38, -36, -36, -22, -12, -6, 6, 12, 16, 16, 20, 24]","[-0.3333333333333333, -0.16666666666666666, -0.09090909090909091, -0.05555555555555555, -0.05555555555555555, -0.05263157894736842, -0.041666666666666664, 0.08333333333333333, 0.1, 0.125, 0.125, 0.16666666666666666, 0.3333333333333333]","[-24, -19, -18, -18, -11, -6, -3, 2, 3, 6, 8, 8, 10, 12]","[-24, -19, -18, -18, -11, -6, -3, 3, 6, 8, 8, 12]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
15,[],[],[],[],[],[2],[],[],[],[],[],[],[2],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
16,"[-27, -25, -18, -7, -2, -1, 5, 17]","[-27, -25, -18, -7, -2, -1, 5, 17]","[-25, -23, -16, -5, 0, 1, 7, 19]","[-54, -50, -36, -14, -4, -2, 10, 34]","[-1.0, -0.5, -0.14285714285714285, -0.05555555555555555, -0.04, -0.037037037037037035, 0.058823529411764705, 0.2]","[-27, -25, -18, -7, -2, -1, 2, 5, 17]","[-25, -18, -7, -2, -1, 5, 17]","[-27, -25, -18, -7, -2, -1, 5, 17]","[-27, -25, -18, -7, -2, -1, 5, 17]","[-25, -23, -16, -5, 0, 1, 7, 19]","[-54, -50, -36, -14, -4, -2, 10, 34]","[-1.0, -0.5, -0.14285714285714285, -0.05555555555555555, -0.04, -0.037037037037037035, 0.058823529411764705, 0.2]","[-27, -25, -18, -7, -2, -1, 2, 5, 17]","[-25, -18, -7, -2, -1, 5, 17]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
17,"[-29, -20, -16, -13, -11, -2, 2, 18, 21]","[-29, -20, -16, -13, -11, -2, 2, 18, 21]","[-27, -18, -14, -11, -9, 0, 4, 20, 23]","[-58, -40, -32, -26, -22, -4, 4, 36, 42]","[-0.5, -0.09090909090909091, -0.07692307692307693, -0.0625, -0.05, -0.034482758620689655, 0.047619047619047616, 0.05555555555555555, 0.5]","[-29, -20, -16, -13, -11, -2, 2, 2, 18, 21]","[-29, -20, -16, -13, -11, 2, 18, 21]","[-29, -20, -16, -13, -11, -2, 2, 18, 21]","[-29, -20, -16, -13, -11, -2, 2, 18, 21]","[-27, -18, -14, -11, -9, 0, 4, 20, 23]","[-58, -40, -32, -26, -22, -4, 4, 36, 42]","[-0.5, -0.09090909090909091, -0.07692307692307693, -0.0625, -0.05, -0.034482758620689655, 0.047619047619047616, 0.05555555555555555, 0.5]","[-29, -20, -16, -13, -11, -2, 2, 2, 18, 21]","[-29, -20, -16, -13, -11, 2, 18, 21]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
18,"[-28, -27, -27, -6, -3, 15, 21]","[-28, -27, -27, -6, -3, 15, 21]","[-26, -25, -25, -4, -1, 17, 23]","[-56, -54, -54, -12, -6, 30, 42]","[-0.3333333333333333, -0.16666666666666666, -0.037037037037037035, -0.037037037037037035, -0.03571428571428571, 0.047619047619047616, 0.06666666666666667]","[-28, -27, -27, -6, -3, 2, 15, 21]","[-28, -27, -27, -3, 15, 21]","[-28, -27, -27, -6, -3, 15, 21]","[-28, -27, -27, -6, -3, 15, 21]","[-26, -25, -25, -4, -1, 17, 23]","[-56, -54, -54, -12, -6, 30, 42]","[-0.3333333333333333, -0.16666666666666666, -0.037037037037037035, -0.037037037037037035, -0.03571428571428571, 0.047619047619047616, 0.06666666666666667]","[-28, -27, -27, -6, -3, 2, 15, 21]","[-28, -27, -27, -3, 15, 21]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
19,"[-25, -25, -24, -21, -16, -16, -9, -4, 14, 14, 23, 24]","[-25, -25, -24, -21, -16, -16, -9, -4, 14, 14, 23, 24]","[-23, -23, -22, -19, -14, -14, -7, -2, 16, 16, 25, 26]","[-50, -50, -48, -42, -32, -32, -18, -8, 28, 28, 46, 48]","[-0.25, -0.1111111111111111, -0.0625, -0.0625, -0.047619047619047616, -0.041666666666666664, -0.04, -0.04, 0.041666666666666664, 0.043478260869565216, 0.07142857142857142, 0.07142857142857142]","[-25, -25, -24, -21, -16, -16, -9, -4, 2, 14, 14, 23, 24]","[-25, -25, -21, -16, -16, -9, -4, 14, 14, 23, 24]","[-25, -25, -24, -21, -16, -16, -9, -4, 14, 14, 23, 24]","[-25, -25, -24, -21, -16, -16, -9, -4, 14, 14, 23, 24]","[-23, -23, -22, -19, -14, -14, -7, -2, 16, 16, 25, 26]","[-50, -50, -48, -42, -32, -32, -18, -8, 28, 28, 46, 48]","[-0.25, -0.1111111111111111, -0.0625, -0.0625, -0.047619047619047616, -0.041666666666666664, -0.04, -0.04, 0.041666666666666664, 0.043478260869565216, 0.07142857142857142, 0.07142857142857142]","[-25, -25, -24, -21, -16, -16, -9, -4, 2, 14, 14, 23, 24]","[-25, -25, -21, -16, -16, -9, -4, 14, 14, 23, 24]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
