,method_name,MR_per_v_cnt,MR_per_nv_cnt,MR_per_e_cnt,MR_add_v_cnt,MR_add_nv_cnt,MR_add_e_cnt,MR_mul_v_cnt,MR_mul_nv_cnt,MR_mul_e_cnt,MR_inv_v_cnt,MR_inv_nv_cnt,MR_inv_e_cnt,MR_inc_v_cnt,MR_inc_nv_cnt,MR_inc_e_cnt,MR_exc_v_cnt,MR_exc_nv_cnt,MR_exc_e_cnt
11,add_logs.json,3034,594,0,0,3628,0,3118,510,0,1576,454,1598,0,3628,0,233,3395,0
10,calculateDifferences_logs.json,3033,595,0,3395,233,0,3183,445,0,1623,407,1598,0,3628,0,233,3395,0
1,dec_logs.json,3033,595,0,3395,233,0,3204,424,0,1637,393,1598,0,3628,0,233,3395,0
7,ebeAdd_logs.json,3034,594,0,0,3628,0,3118,510,0,1576,454,1598,0,3628,0,233,3395,0
9,ebeDivide_logs.json,2101,558,969,1593,428,1607,2426,233,969,1645,385,1598,0,2659,969,296,2485,847
6,ebeMultiply_logs.json,3034,594,0,2863,765,0,3176,452,0,1581,449,1598,0,3628,0,233,3395,0
5,ebeSubtract_logs.json,3033,595,0,3395,233,0,3204,424,0,1637,393,1598,0,3628,0,233,3395,0
8,elementwise_equal_logs.json,1013,2615,0,3395,233,0,3395,233,0,3395,233,0,0,3628,0,233,3395,0
0,elementwise_max_logs.json,2779,849,0,0,3628,0,2717,911,0,1356,674,1598,0,3628,0,233,3395,0
12,elementwise_min_logs.json,2782,846,0,0,3628,0,3319,309,0,1722,308,1598,0,3628,0,233,3395,0
2,elementwise_not_equal_logs.json,1013,2615,0,3395,233,0,3395,233,0,3395,233,0,0,3628,0,233,3395,0
4,find_diff_logs.json,3033,595,0,3395,233,0,3204,424,0,1637,393,1598,0,3628,0,233,3395,0
3,pooledMean_logs.json,0,3395,233,0,3395,233,1907,1488,233,969,828,1831,397,2998,233,1579,1602,447
