,method_name,MR_per_v_cnt,MR_per_nv_cnt,MR_per_e_cnt,MR_add_v_cnt,MR_add_nv_cnt,MR_add_e_cnt,MR_mul_v_cnt,MR_mul_nv_cnt,MR_mul_e_cnt,MR_inv_v_cnt,MR_inv_nv_cnt,MR_inv_e_cnt,MR_inc_v_cnt,MR_inc_nv_cnt,MR_inc_e_cnt,MR_exc_v_cnt,MR_exc_nv_cnt,MR_exc_e_cnt
7,canberraDistance_logs.json,2976,652,0,2034,1594,0,44,3584,0,0,2030,1598,44,3584,0,44,3584,0
19,chebyshevDistance_logs.json,2513,882,233,0,3395,233,0,3395,233,0,1797,1831,0,3395,233,0,3181,447
15,chiSquare_logs.json,2029,564,1035,914,1014,1700,1061,1532,1035,751,1224,1653,1308,1206,1114,1033,1476,1119
4,consineDistance_logs.json,3023,372,233,2075,1320,233,0,3395,233,907,890,1831,3213,182,233,1553,1628,447
13,covariance_logs.json,3023,158,447,2,3179,447,1612,1569,447,809,792,2027,750,2431,447,1499,1469,660
5,distance1_logs.json,2724,904,0,0,3628,0,0,3628,0,0,2030,1598,0,3628,0,0,3628,0
9,distanceInf_logs.json,2513,882,233,0,3395,233,0,3395,233,0,1797,1831,0,3395,233,0,3181,447
3,dotProduct_logs.json,3023,605,0,1202,2426,0,1254,2374,0,704,1326,1598,0,3628,0,1405,2223,0
22,errorRate_logs.json,1114,2271,243,233,3145,250,57,3328,243,0,3385,243,3372,13,243,111,3053,464
23,find_euc_dist_logs.json,3023,605,0,0,3628,0,0,3628,0,0,2030,1598,0,3628,0,0,3628,0
6,g_logs.json,22,287,3319,26,283,3319,0,309,3319,2,307,3319,0,309,3319,0,309,3319
14,hamming_dist_logs.json,1155,2473,0,0,3628,0,0,3628,0,0,3628,0,0,3628,0,0,3628,0
18,manhattanDistance2_logs.json,2724,904,0,0,3628,0,0,3628,0,0,2030,1598,0,3628,0,0,3628,0
17,manhattanDistance_logs.json,2724,904,0,0,3628,0,0,3628,0,0,2030,1598,0,3628,0,0,3628,0
20,meanDifference_logs.json,0,3395,233,0,3395,233,1650,1745,233,878,919,1831,1685,1710,233,1579,1602,447
16,mean_absolute_error_logs.json,2724,671,233,0,3395,233,0,3395,233,0,1797,1831,3382,13,233,1724,1457,447
10,polevl_logs.json,0,0,3628,0,0,3628,0,0,3628,0,0,3628,0,0,3628,0,0,3628
0,pooledVariance_logs.json,0,3395,233,0,3395,233,0,3395,233,0,1797,1831,1932,1463,233,1448,1733,447
1,sampleWeightefVariance_logs.json,2810,279,539,1412,1609,607,1139,1950,539,618,929,2081,1872,1113,643,1268,1533,827
2,tanimotoDistance_logs.json,3023,605,0,2155,1473,0,0,3628,0,960,1070,1598,3382,246,0,1575,2053,0
11,varianceDifference_logs.json,3023,158,447,0,3181,447,0,3181,447,6,1595,2027,2984,197,447,1834,1134,660
12,weightedAverage_logs.json,2986,356,286,820,2467,341,1750,1592,286,922,850,1856,2022,1255,351,1472,1605,551
21,weightedMean_logs.json,2986,356,286,820,2467,341,1750,1592,286,922,850,1856,2022,1255,351,1472,1605,551
8,weightedRMS_logs.json,2207,345,1076,977,1484,1167,0,2871,757,6,1229,2393,1221,1455,952,1202,1257,1169
